timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
246176000,0,4000000.0,1.0,0.0,25.696213,0.0,0,0,0,0,0,2,0,0,1,1,43
246584000,246580000,4000000.0,1.0,0.020916333,11.131474,0.0,255,0,6,4,0,0,0,0,1,1,37
247176000,0,4000000.0,1.0,0.0,25.666332,0.0,0,0,0,0,0,2,0,0,1,1,43
247584000,247580000,4000000.0,1.0,0.020916333,11.128485,0.0,255,0,6,4,0,0,0,0,1,1,37
248176000,0,4000000.0,1.0,0.0,25.720118,0.0,0,0,0,0,0,2,0,0,1,1,43
248584000,248580000,4000000.0,1.0,0.020916333,11.199203,0.0,255,0,6,4,0,0,0,0,1,1,37
249176000,0,4000000.0,1.0,0.0,25.746014,0.0,0,0,0,0,0,2,0,0,1,1,43
249584000,249580000,4000000.0,1.0,0.020916333,11.088644,0.0,255,0,6,4,0,0,0,0,1,1,37
250176000,0,4000000.0,1.0,0.0,25.597607,0.0,0,0,0,0,0,2,0,0,1,1,43
250580000,250576000,4000000.0,1.0,0.020916333,11.215138,0.0,255,0,6,4,0,0,0,0,1,1,37
251176000,0,4000000.0,1.0,0.0,25.723104,0.0,0,0,0,0,0,2,0,0,1,1,43
251576000,251576000,4000000.0,1.0,0.020916333,11.117529,0.0,255,0,6,4,0,0,0,0,1,1,37
252176000,0,4000000.0,1.0,0.0,25.765934,0.0,0,0,0,0,0,2,0,0,1,1,43
252576000,251576000,4000000.0,1.0,0.06474103,11.688246,0.0,255,0,6,4,0,0,0,0,1,1,37
252648000,252644000,4000000.0,1.0,0.06474103,11.688246,0.0,255,0,6,4,0,0,0,0,1,1,37
253176000,0,4000000.0,1.0,0.0,27.612547,0.0,0,0,0,0,0,2,0,0,1,1,43
253580000,253576000,4000000.0,1.0,0.06474103,15.918325,0.0,255,0,6,4,0,0,0,0,1,1,37
254176000,0,4000000.0,1.0,0.0,26.818724,0.0,0,0,0,0,0,2,0,0,1,1,43
