timestamp,saturation_status
689856000,1
689864000,1
689868000,1
689872000,1
689876000,1
689880000,1
689888000,1
689892000,1
689896000,1
689900000,1
689904000,1
689908000,1
689912000,1
689916000,1
689924000,1
689928000,1
689936000,1
689944000,1
689948000,1
689952000,1
689956000,1
689960000,1
689964000,1
689968000,1
689972000,1
689980000,1
689984000,1
689988000,1
689996000,1
690000000,1
690004000,1
690012000,1
690020000,1
690024000,1
690028000,1
690032000,1
690036000,1
690044000,1
690048000,1
690052000,1
690056000,1
690060000,1
690064000,1
690068000,1
690072000,1
690080000,1
690088000,1
690096000,1
690100000,1
690104000,1
690108000,1
690112000,1
690116000,1
690120000,1
690124000,1
690132000,1
690136000,1
690140000,1
690148000,1
690152000,1
690156000,1
690164000,1
690172000,1
690176000,1
690184000,1
690192000,1
690200000,1
690204000,1
690208000,1
690216000,1
690220000,1
690224000,1
690228000,1
690232000,1
690236000,1
690240000,1
690244000,1
690248000,1
690252000,1
690256000,1
690260000,1
690268000,1
690276000,1
690280000,1
690284000,1
690288000,1
690296000,1
690304000,1
690308000,1
690312000,1
690316000,1
690320000,1
690324000,1
690332000,1
690336000,1
690340000,1
690344000,1
690348000,1
690352000,1
690356000,1
690360000,1
690364000,1
690368000,1
690372000,1
690376000,1
690380000,1
690384000,1
690392000,1
690396000,1
690400000,1
690404000,1
690412000,1
690416000,1
690420000,1
690428000,1
690432000,1
690436000,1
690440000,1
690444000,1
690452000,1
690456000,1
690464000,1
690468000,1
690472000,1
690480000,1
690484000,1
690488000,1
690492000,1
690496000,1
690504000,1
690508000,1
690512000,1
690516000,1
690520000,1
690524000,1
690528000,1
690536000,1
690540000,1
690544000,1
690548000,1
690552000,1
690556000,1
690560000,1
690564000,1
690568000,1
690572000,1
690576000,1
690580000,1
690584000,1
690592000,1
690600000,1
690604000,1
690612000,1
690616000,1
690620000,1
690624000,1
690632000,1
690636000,1
690640000,1
690644000,1
690648000,1
690652000,1
690656000,1
690664000,1
690668000,1
690676000,1
690680000,1
690684000,1
690688000,1
690692000,1
690696000,1
690704000,1
690712000,1
690716000,1
690720000,1
690724000,1
690728000,1
690732000,1
690736000,1
690740000,1
690744000,1
690748000,1
690752000,1
690756000,1
690764000,1
690768000,1
690772000,1
690776000,1
690780000,1
690784000,1
690788000,1
690792000,1
690796000,1
690800000,1
690808000,1
690812000,1
690816000,1
690820000,1
690824000,1
690832000,1
690836000,1
690840000,1
690844000,1
690852000,1
690856000,1
690860000,1
690864000,1
690868000,1
690872000,1
690876000,1
690880000,1
690888000,1
690892000,1
690900000,1
690904000,1
690912000,1
690916000,1
690920000,1
690924000,1
690928000,1
690932000,1
690936000,1
690944000,1
690948000,1
690952000,1
690960000,1
690964000,1
690968000,1
690976000,1
690980000,1
690984000,1
690992000,1
691000000,1
691008000,1
691016000,1
691020000,1
691024000,1
691028000,1
691036000,1
691044000,1
691052000,1
691056000,1
691060000,1
691068000,1
691072000,1
691080000,1
691084000,1
691092000,1
691096000,1
691104000,1
691108000,1
691112000,1
691116000,1
691120000,1
691124000,1
691132000,1
691136000,1
691140000,1
691144000,1
691148000,1
691152000,1
691156000,1
691160000,1
691164000,1
691168000,1
691172000,1
691180000,1
691184000,1
691188000,1
691192000,1
691196000,1
691204000,1
691208000,1
691212000,1
691216000,1
691220000,1
691228000,1
691232000,1
691236000,1
691240000,1
691244000,1
691248000,1
691252000,1
691256000,1
691260000,1
691264000,1
691268000,1
691272000,1
691280000,1
691284000,1
691288000,1
691296000,1
691300000,1
691308000,1
691312000,1
691316000,1
691320000,1
691324000,1
691328000,1
691332000,1
691336000,1
691344000,1
691348000,1
691352000,1
691360000,1
691368000,1
691372000,1
691376000,1
691380000,1
691384000,1
691392000,1
691396000,1
691404000,1
691408000,1
691412000,1
691420000,1
691424000,1
691432000,1
691436000,1
691444000,1
691448000,1
691452000,1
691456000,1
691460000,1
691464000,1
691472000,1
691476000,1
691480000,1
691484000,1
691488000,1
691492000,1
691496000,1
691504000,1
691512000,1
691520000,1
691524000,1
691528000,1
691532000,1
691540000,1
691544000,1
691548000,1
691556000,1
691560000,1
691568000,1
691572000,1
691580000,1
691584000,1
691588000,1
691596000,1
691600000,1
691604000,1
691608000,1
691616000,1
691620000,1
691624000,1
691628000,1
691632000,1
691636000,1
691640000,1
691648000,1
691652000,1
691660000,1
691664000,1
691668000,1
691672000,1
691680000,1
691684000,1
691688000,1
691692000,1
691696000,1
691700000,1
691704000,1
691708000,1
691712000,1
691716000,1
691720000,1
691724000,1
691728000,1
691732000,1
691736000,1
691740000,1
691744000,1
691748000,1
691752000,1
691756000,1
691760000,1
691764000,1
691768000,1
691772000,1
691776000,1
691784000,1
691788000,1
691792000,1
691800000,1
691804000,1
691808000,1
691812000,1
691816000,1
691820000,1
691824000,1
691828000,1
691832000,1
691836000,1
691840000,1
691848000,1
691852000,1
691856000,1
691860000,1
691864000,1
691868000,1
691872000,1
691876000,1
691880000,1
691884000,1
691888000,1
691892000,1
691896000,1
691900000,1
691904000,1
691908000,1
691912000,1
691916000,1
691920000,1
691924000,1
691932000,1
691936000,1
691940000,1
691944000,1
691948000,1
691952000,1
691960000,1
691964000,1
691968000,1
691972000,1
691980000,1
691984000,1
691988000,1
691992000,1
691996000,1
692000000,1
692004000,1
692012000,1
692016000,1
692020000,1
692024000,1
692032000,1
692036000,1
692040000,1
692048000,1
692052000,1
692056000,1
692060000,1
692064000,1
692068000,1
692072000,1
692080000,1
692084000,1
692092000,1
692096000,1
692100000,1
692104000,1
692108000,1
692112000,1
692116000,1
692120000,1
692124000,1
692128000,1
692136000,1
692140000,1
692144000,1
692148000,1
692152000,1
692160000,1
692164000,1
692172000,1
692176000,1
692180000,1
692184000,1
692188000,1
692192000,1
692200000,1
692204000,1
692208000,1
692216000,1
692220000,1
692224000,1
692228000,1
692236000,1
692240000,1
692244000,1
692248000,1
692252000,1
692256000,1
692260000,1
692264000,1
692268000,1
692272000,1
692280000,1
692284000,1
692288000,1
692296000,1
692304000,1
692308000,1
692312000,1
692320000,1
692324000,1
692332000,1
692336000,1
692344000,1
692352000,1
692360000,1
692364000,1
692372000,1
692376000,1
692380000,1
692384000,1
692388000,1
692392000,1
692396000,1
692400000,1
692404000,1
692412000,1
692416000,1
692420000,1
692424000,1
692432000,1
692440000,1
692444000,1
692448000,1
692456000,1
692460000,1
692464000,1
692468000,1
692472000,1
692480000,1
692488000,1
692492000,1
692496000,1
692500000,1
692504000,1
692512000,1
692516000,1
692520000,1
692524000,1
692528000,1
692532000,1
692540000,1
692544000,1
692548000,1
692556000,1
692560000,1
692564000,1
692568000,1
692576000,1
692580000,1
692584000,1
692592000,1
692596000,1
692600000,1
692604000,1
692608000,1
692616000,1
692620000,1
692624000,1
692632000,1
692636000,1
692640000,1
692644000,1
692648000,1
692656000,1
692664000,1
692668000,1
692672000,1
692676000,1
692684000,1
692688000,1
692692000,1
692696000,1
692700000,1
692708000,1
692712000,1
692716000,1
692720000,1
692724000,1
692732000,1
692736000,1
692740000,1
692748000,1
692752000,1
692760000,1
692764000,1
692772000,1
692776000,1
692784000,1
692788000,1
692796000,1
692800000,1
692804000,1
692808000,1
692812000,1
692820000,1
692824000,1
692828000,1
692832000,1
692836000,1
692840000,1
692844000,1
692848000,1
692852000,1
692860000,1
692864000,1
692868000,1
692872000,1
692876000,1
692880000,1
692884000,1
692888000,1
692892000,1
692896000,1
692900000,1
692904000,1
692908000,1
692912000,1
692916000,1
692924000,1
692928000,1
692932000,1
692936000,1
692944000,1
692948000,1
692952000,1
692956000,1
692964000,1
692968000,1
692972000,1
692976000,1
692980000,1
692984000,1
692988000,1
692992000,1
692996000,1
693000000,1
693004000,1
693008000,1
693016000,1
693020000,1
693024000,1
693028000,1
693032000,1
693036000,1
693040000,1
693044000,1
693052000,1
693056000,1
693060000,1
693068000,1
693072000,1
693076000,1
693080000,1
693084000,1
693088000,1
693096000,1
693100000,1
693104000,1
693108000,1
693112000,1
693116000,1
693120000,1
693124000,1
693128000,1
693132000,1
693136000,1
693144000,1
693148000,1
693152000,1
693156000,1
693160000,1
693164000,1
693172000,1
693176000,1
693184000,1
693188000,1
693192000,1
693196000,1
693200000,1
693208000,1
693212000,1
693216000,1
693220000,1
693224000,1
693228000,1
693232000,1
693236000,1
693244000,1
693248000,1
693252000,1
693256000,1
693260000,1
693264000,1
693268000,1
693272000,1
693280000,1
693284000,1
693288000,1
693292000,1
693296000,1
693300000,1
693304000,1
693308000,1
693312000,1
693320000,1
693328000,1
693332000,1
693340000,1
693344000,1
693348000,1
693352000,1
693356000,1
693360000,1
693368000,1
693372000,1
693376000,1
693380000,1
693384000,1
693392000,1
693400000,1
693404000,1
693408000,1
693416000,1
693420000,1
693424000,1
693428000,1
693436000,1
693440000,1
693444000,1
693448000,1
693452000,1
693456000,1
693460000,1
693468000,1
693472000,1
693476000,1
693480000,1
693488000,1
693492000,1
693496000,1
693500000,1
693504000,1
693508000,1
693512000,1
693516000,1
693524000,1
693532000,1
693536000,1
693540000,1
693544000,1
693548000,1
693556000,1
693560000,1
693564000,1
693568000,1
693572000,1
693576000,1
693580000,1
693584000,1
693588000,1
693592000,1
693596000,1
693600000,1
693608000,1
693612000,1
693616000,1
693624000,1
693628000,1
693632000,1
693636000,1
693640000,1
693648000,1
693652000,1
693656000,1
693660000,1
693668000,1
693672000,1
693676000,1
693680000,1
693684000,1
693688000,1
693692000,1
693696000,1
693700000,1
693704000,1
693708000,1
693712000,1
693716000,1
693724000,1
693728000,1
693732000,1
693736000,1
693744000,1
693748000,1
693752000,1
693756000,1
693760000,1
693764000,1
693768000,1
693772000,1
693780000,1
693784000,1
693788000,1
693792000,1
693800000,1
693804000,1
693808000,1
693812000,1
693816000,1
693820000,1
693824000,1
693828000,1
693832000,1
693836000,1
693844000,1
693848000,1
693852000,1
693856000,1
693864000,1
693868000,1
693872000,1
693876000,1
693884000,1
693892000,1
693900000,1
693904000,1
693908000,1
693916000,1
693920000,1
693924000,1
693928000,1
693936000,1
693944000,1
693948000,1
693956000,1
693960000,1
693968000,1
693972000,1
693980000,1
693984000,1
693992000,1
694000000,1
694004000,1
694008000,1
694012000,1
694016000,1
694020000,1
694024000,1
694028000,1
694036000,1
694040000,1
694044000,1
694052000,1
694056000,1
694060000,1
694064000,1
694068000,1
694072000,1
694076000,1
694080000,1
694088000,1
694096000,1
694100000,1
694108000,1
694112000,1
694116000,1
694124000,1
694128000,1
694136000,1
694144000,1
694148000,1
694152000,1
694156000,1
694160000,1
694164000,1
694168000,1
694172000,1
694176000,1
694184000,1
694188000,1
694192000,1
694200000,1
694204000,1
694212000,1
694220000,1
694224000,1
694232000,1
694240000,1
694244000,1
694248000,1
694252000,1
694256000,1
694264000,1
694272000,1
694276000,1
694280000,1
694284000,1
694288000,1
694292000,1
694300000,1
694304000,1
694308000,1
694312000,1
694316000,1
694324000,1
694328000,1
694332000,1
694336000,1
694340000,1
694344000,1
694352000,1
694360000,1
694364000,1
694368000,1
694376000,1
694380000,1
694384000,1
694388000,1
694396000,1
694400000,1
694404000,1
694408000,1
694412000,1
694420000,1
694424000,1
694428000,1
694436000,1
694444000,1
694448000,1
694456000,1
694464000,1
694468000,1
694472000,1
694476000,1
694480000,1
694484000,1
694488000,1
694492000,1
694500000,1
694504000,1
694508000,1
694512000,1
694516000,1
694520000,1
694524000,1
694532000,1
694540000,1
694544000,1
694548000,1
694552000,1
694556000,1
694560000,1
694564000,1
694568000,1
694572000,1
694576000,1
694580000,1
694584000,1
694592000,1
694596000,1
694600000,1
694608000,1
694612000,1
694616000,1
694620000,1
694624000,1
694628000,1
694636000,1
694644000,1
694648000,1
694656000,1
694660000,1
694664000,1
694672000,1
694676000,1
694680000,1
694684000,1
694688000,1
694692000,1
694696000,1
694704000,1
694708000,1
694712000,1
694720000,1
694724000,1
694732000,1
694740000,1
694744000,1
694748000,1
694752000,1
694760000,1
694764000,1
694768000,1
694772000,1
694780000,1
694788000,1
694792000,1
694796000,1
694800000,1
694804000,1
694808000,1
694812000,1
694820000,1
694824000,1
694828000,1
694832000,1
694836000,1
694840000,1
694848000,1
694852000,1
694856000,1
694864000,1
694868000,1
694876000,1
694880000,1
694888000,1
694892000,1
694896000,1
694900000,1
694904000,1
694908000,1
694912000,1
694916000,1
694920000,1
694928000,1
694932000,1
694940000,1
694944000,1
694948000,1
694952000,1
694956000,1
694960000,1
694964000,1
694968000,1
