timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
848296000,-0.02096982,0.046257377,0.029353281,-0.012382507,0.00084733963,-0.026611328,0.00015776232,0.001124382,0.0003543198,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.2684549,0.2696019,0.5733738,1.093036,1.0946594,4.0572734,0.002506625,0.002504607,0.0025022721,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00020501994,0.002251952,0.0044838088,0.0,0.0,0.0,0.0,0.0,0.0
848496000,-0.017594881,0.015120983,0.0118648615,-0.014259338,-0.0013371706,0.0262146,-0.0020683855,0.00040511787,-0.002846539,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26864988,0.2697902,0.5733532,1.0930479,1.0947274,4.0571465,0.002506525,0.0025045981,0.002502243,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00018635998,0.0018672007,0.0042704414,0.0,0.0,0.0,0.0,0.0,0.0
848696000,-0.026205212,0.042203188,-0.0019480642,-0.017707825,0.008511066,-0.058380127,0.0017475635,-0.0002542585,0.0023069382,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.268798,0.26992646,0.573331,1.0930799,1.0948125,4.0574365,0.0025064251,0.002504614,0.0025022188,0.09013244,0.0,0.0,0.0,0.0,0.0,0.0001546283,0.0021547037,0.0050256667,0.0,0.0,0.0,0.0,0.0,0.0
848896000,-0.015644193,0.045666933,0.0071430346,-0.010795593,0.006895542,-0.060821533,0.002322644,0.00074124336,0.0015809238,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26891717,0.2700232,0.57340074,1.0931392,1.094914,4.057422,0.002506325,0.002504631,0.0025021974,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00017593647,0.0017556099,0.0031456654,0.0,0.0,0.0,0.0,0.0,0.0
849096000,-0.04303056,0.051635027,0.0016470272,-0.01858139,-0.002024293,0.05307007,0.00029212981,-0.0014779121,0.003779173,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26900756,0.27008095,0.57338035,1.0932295,1.0950291,4.0572953,0.0025062328,0.0025046442,0.0025021802,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00015264351,0.0023811343,0.004121907,0.0,0.0,0.0,0.0,0.0,0.0
849296000,-0.036729902,0.058116764,-0.064692184,-0.02445221,-0.0028892756,0.029876709,0.00033352524,0.0008690059,-0.0028546154,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26905635,0.27009776,0.5734499,1.0933253,1.0951453,4.0572786,0.0025061416,0.0025046747,0.0025021632,0.09013244,0.0,0.0,0.0,0.0,0.0,0.000144363,0.0021236476,0.0039892467,0.0,0.0,0.0,0.0,0.0,0.0
849496000,-0.059752297,0.039617926,0.0727334,-0.019966125,0.0047986507,0.060943604,-0.0019375533,-0.0010190308,0.0022571385,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26908562,0.27008832,0.57342756,1.0934417,1.0952661,4.0574713,0.0025060382,0.0025047653,0.0025021192,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00020589525,0.0030466903,0.006575176,0.0,0.0,0.0,0.0,0.0,0.0
849696000,-0.075050294,0.027402788,0.03337033,-0.02514267,0.0015593767,-0.04928589,0.0011226162,-0.00081577897,-0.0001860857,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26908153,0.27003834,0.5734974,1.0935545,1.09538,4.0574517,0.0025058032,0.0025050733,0.0025020107,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00014461014,0.003972866,0.007356372,0.0,0.0,0.0,0.0,0.0,0.0
849896000,-0.062061667,0.062136084,0.034228653,-0.014350891,0.0036312342,-0.07330322,-0.00012741983,0.00010813773,0.0015868843,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26905975,0.26992553,0.57346964,1.0936779,1.0954847,4.057432,0.0025054275,0.0025055779,0.0025018759,0.09013244,0.0,0.0,0.0,0.0,0.0,0.00014561709,0.0037625537,0.005367033,0.0,0.0,0.0,0.0,0.0,0.0
850096000,-0.044802964,0.057781994,-0.007887475,-0.0097465515,0.0033509135,-0.01739502,0.0018751547,-0.0021740943,0.000705719,-0.0154180005,0.0,0.0,0.0,0.0,0.0,0.26901335,0.26973942,0.57343316,1.0937895,1.0955651,4.057619,0.0025050086,0.0025060924,0.0025017923,0.09013244,0.0,0.0,0.0,0.0,0.0,0.0001696362,0.0033013993,0.0049437922,0.0,0.0,0.0,0.0,0.0,0.0
