timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
4856000,487.722,32.0,95602.38,1.1359144
4864000,487.6559,32.0,95603.14,1.1359235
4876000,487.7986,32.0,95601.51,1.1359041
4884000,487.65857,32.0,95603.11,1.1359231
4896000,487.7167,32.0,95602.44,1.1359152
4904000,487.67706,32.0,95602.875,1.1359203
4916000,487.6163,32.0,95603.6,1.135929
4924000,487.73254,32.0,95602.25,1.1359129
4936000,487.54495,32.0,95604.41,1.1359385
4944000,487.54495,32.0,95604.41,1.1359385
4956000,487.61365,32.0,95603.63,1.1359293
4964000,487.6665,32.0,95603.0,1.1359218
4976000,487.51587,32.0,95604.75,1.1359426
4984000,487.63742,32.0,95603.36,1.135926
4996000,487.72726,32.0,95602.31,1.1359136
5004000,487.7537,32.0,95602.016,1.1359102
5016000,487.4736,32.0,95605.234,1.1359483
5024000,487.71405,32.0,95602.46,1.1359154
5036000,487.648,32.0,95603.22,1.1359243
5044000,487.6665,32.0,95603.03,1.1359222
5056000,487.6163,32.0,95603.586,1.1359288
5064000,487.71143,32.0,95602.49,1.1359158
5076000,487.7035,32.0,95602.58,1.1359168
5084000,487.50266,32.0,95604.88,1.1359441
5096000,487.48682,32.0,95605.08,1.1359465
5104000,487.6427,32.0,95603.28,1.1359252
5116000,487.66122,32.0,95603.09,1.1359229
5124000,487.53702,32.0,95604.5,1.1359396
5136000,487.67178,32.0,95602.945,1.1359211
5144000,487.7352,32.0,95602.234,1.1359127
5156000,487.5053,32.0,95604.84,1.1359437
5164000,487.66913,32.0,95602.99,1.1359217
5176000,487.60837,32.0,95603.67,1.1359298
5184000,487.84616,32.0,95600.96,1.1358975
5196000,487.55817,32.0,95604.266,1.1359369
5204000,487.7035,32.0,95602.57,1.1359167
5216000,487.67178,32.0,95602.94,1.135921
5224000,487.6744,32.0,95602.91,1.1359206
5236000,487.5053,32.0,95604.87,1.135944
5244000,487.67706,32.0,95602.89,1.1359205
5256000,487.56873,32.0,95604.13,1.1359353
5264000,487.72464,32.0,95602.36,1.1359142
5276000,487.47888,32.0,95605.164,1.1359475
5284000,487.55023,32.0,95604.336,1.1359377
5296000,487.62952,32.0,95603.43,1.1359268
5304000,487.58194,32.0,95603.98,1.1359334
5316000,487.58987,32.0,95603.89,1.1359323
5324000,487.648,32.0,95603.234,1.1359246
5336000,487.6057,32.0,95603.73,1.1359304
5344000,487.55817,32.0,95604.26,1.1359367
5356000,487.55817,32.0,95604.25,1.1359366
5364000,487.7352,32.0,95602.21,1.1359124
5376000,487.3864,32.0,95606.22,1.13596
