timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
78360000,0.0020880913,0.0,0.0
78564000,0.005979578,0.0,0.0
78760000,0.0031423755,0.0,0.0
78964000,0.0023559432,0.0,0.0
79160000,0.0036268919,0.0,0.0
79360000,0.0056537124,0.0,0.0
79560000,0.0009884733,0.0,0.0
79764000,0.0034802493,0.0,0.0
79960000,0.0030970739,0.0,0.0
80160000,0.003058743,0.0,0.0
80360000,0.0025166622,0.0,0.0
80560000,0.0044094934,0.0,0.0
80764000,0.0018468349,0.0,0.0
80960000,0.0033636824,0.0,0.0
81164000,0.006374738,0.0,0.0
81360000,0.0011942663,0.0,0.0
81560000,0.0037200951,0.0,0.0
81760000,0.0012385985,0.0,0.0
81960000,0.0035602162,0.0,0.0
82160000,0.005527808,0.0,0.0
82360000,0.00987913,0.0,0.0
82564000,0.0014781494,0.0,0.0
82764000,0.003449513,0.0,0.0
82960000,0.0031343412,0.0,0.0
83160000,0.0024405094,0.0,0.0
83364000,0.009064401,0.0,0.0
83560000,0.0010953879,0.0,0.0
83760000,0.009945896,0.0,0.0
83960000,0.0044792835,0.0,0.0
84164000,0.002159058,0.0,0.0
84360000,0.0021596628,0.0,0.0
84560000,0.0025847072,0.0,0.0
84764000,0.0011358494,0.0,0.0
84960000,0.011043488,0.0,0.0
85164000,0.0019918317,0.0,0.0
85360000,0.010261931,0.0,0.0
85560000,0.0007249855,0.0,0.0
85760000,0.0019376042,0.0,0.0
85960000,0.0072961594,0.0,0.0
86164000,0.000648167,0.0,0.0
86360000,0.0035585843,0.0,0.0
86560000,0.0017401848,0.0,0.0
86760000,0.0018460777,0.0,0.0
86964000,0.0008618114,0.0,0.0
87160000,0.0016230282,0.0,0.0
87360000,0.0018265392,0.0,0.0
87560000,0.0027654776,0.0,0.0
87764000,0.0012922651,0.0,0.0
87964000,0.0037846267,0.0,0.0
88160000,0.01089411,0.0,0.0
88364000,0.002515133,0.0,0.0
88564000,0.002702123,0.0,0.0
88760000,0.004456624,0.0,0.0
88964000,0.0030134781,0.0,0.0
89164000,0.0016214733,0.0,0.0
89360000,0.00295311,0.0,0.0
89560000,0.0012765679,0.0,0.0
89760000,0.0065485453,0.0,0.0
89960000,0.00091545295,0.0,0.0
90160000,0.003640027,0.0,0.0
90364000,0.0012438967,0.0,0.0
90560000,0.005606672,0.0,0.0
90764000,0.0067770784,0.0,0.0
90960000,0.0032943187,0.0,0.0
91160000,0.0025685271,0.0,0.0
91360000,0.0048880475,0.0,0.0
91560000,0.0019964038,0.0,0.0
91760000,0.0071885297,0.0,0.0
91960000,0.006164827,0.0,0.0
92164000,0.00845213,0.0,0.0
92360000,0.0033732133,0.0,0.0
92560000,0.0029710738,0.0,0.0
92764000,0.0035003887,0.0,0.0
92964000,0.0035631978,0.0,0.0
93164000,0.004321718,0.0,0.0
93360000,0.004217609,0.0,0.0
93564000,0.0038014117,0.0,0.0
93760000,0.005250184,0.0,0.0
93960000,0.0046984144,0.0,0.0
94164000,0.00085609296,0.0,0.0
94360000,0.004808396,0.0,0.0
94564000,0.0028471428,0.0,0.0
94760000,0.0034487157,0.0,0.0
94960000,0.009090269,0.0,0.0
95160000,0.0028956782,0.0,0.0
95364000,0.0064125485,0.0,0.0
95560000,0.005853539,0.0,0.0
95760000,0.002760806,0.0,0.0
95960000,0.0030944315,0.0,0.0
96164000,0.006632405,0.0,0.0
96364000,0.0017765464,0.0,0.0
96560000,0.0032128326,0.0,0.0
96760000,0.002524623,0.0,0.0
96960000,0.0026557795,0.0,0.0
97160000,0.0029307462,0.0,0.0
97360000,0.0025335285,0.0,0.0
97560000,0.0037335765,0.0,0.0
97760000,0.0026164285,0.0,0.0
97960000,0.004918156,0.0,0.0
98160000,0.002501414,0.0,0.0
98360000,0.0021128685,0.0,0.0
98560000,0.0048126965,0.0,0.0
98760000,0.002508712,0.0,0.0
98964000,0.0027906732,0.0,0.0
99160000,0.004278244,0.0,0.0
99360000,0.0037977982,0.0,0.0
99560000,0.007276335,0.0,0.0
99764000,0.002435415,0.0,0.0
99964000,0.0016465599,0.0,0.0
100160000,0.0053749504,0.0,0.0
100364000,0.0027531744,0.0,0.0
100560000,0.0044251853,0.0,0.0
100760000,0.0042910706,0.0,0.0
100960000,0.0030043381,0.0,0.0
101164000,0.0034998416,0.0,0.0
101364000,0.0029163011,0.0,0.0
101560000,0.0021314493,0.0,0.0
101760000,0.009170348,0.0,0.0
101960000,0.0019130689,0.0,0.0
102164000,0.006201884,0.0,0.0
102360000,0.0059151724,0.0,0.0
102560000,0.0018868524,0.0,0.0
102760000,0.007935736,0.0,0.0
102960000,0.004731037,0.0,0.0
103160000,0.0029684184,0.0,0.0
103364000,0.0020875975,0.0,0.0
103560000,0.0037362499,0.0,0.0
103760000,0.008955985,0.0,0.0
103960000,0.002079823,0.0,0.0
104160000,0.004107428,0.0,0.0
104360000,0.002926661,0.0,0.0
104564000,0.0027863823,0.0,0.0
104764000,0.0041470826,0.0,0.0
104964000,0.0027787136,0.0,0.0
105160000,0.006213902,0.0,0.0
105360000,0.0035210697,0.0,0.0
105560000,0.0012213729,0.0,0.0
105764000,0.0054510003,0.0,0.0
105964000,0.00873606,0.0,0.0
106164000,0.012690108,0.0,0.0
106364000,0.0023285537,0.0,0.0
106560000,0.0018483215,0.0,0.0
106764000,0.0039889463,0.0,0.0
106960000,0.004469395,0.0,0.0
107160000,0.0033654266,0.0,0.0
107360000,0.0022320289,0.0,0.0
107560000,0.0048931376,0.0,0.0
107760000,0.012177679,0.0,0.0
107960000,0.0039024765,0.0,0.0
108160000,0.00331251,0.0,0.0
108364000,0.0023280482,0.0,0.0
108564000,0.0010311191,0.0,0.0
108760000,0.002618765,0.0,0.0
108964000,0.0035413846,0.0,0.0
109164000,0.0014299765,0.0,0.0
109360000,0.002144476,0.0,0.0
109564000,0.0018401125,0.0,0.0
109760000,0.0031393403,0.0,0.0
109960000,0.0032155605,0.0,0.0
110164000,0.0028862862,0.0,0.0
110360000,0.0033276745,0.0,0.0
110564000,0.0024614583,0.0,0.0
110764000,0.0034991247,0.0,0.0
110960000,0.0019236591,0.0,0.0
111164000,0.0016267591,0.0,0.0
111360000,0.0045219534,0.0,0.0
111564000,0.00084085565,0.0,0.0
111760000,0.002696762,0.0,0.0
111960000,0.0015115712,0.0,0.0
112160000,0.0052727866,0.0,0.0
112360000,0.0035727283,0.0,0.0
112560000,0.0043725763,0.0,0.0
112760000,0.005005194,0.0,0.0
112964000,0.0030600408,0.0,0.0
113164000,0.0026579262,0.0,0.0
113360000,0.003218324,0.0,0.0
113560000,0.0050791036,0.0,0.0
113764000,0.0019571711,0.0,0.0
113960000,0.005037897,0.0,0.0
114164000,0.0028368253,0.0,0.0
114364000,0.0063730143,0.0,0.0
114560000,0.003866108,0.0,0.0
114760000,0.02028852,0.0,0.0
114960000,0.003497958,0.0,0.0
115164000,0.0033453847,0.0,0.0
115364000,0.0012772881,0.0,0.0
115564000,0.0025106852,0.0,0.0
115764000,0.0050423234,0.0,0.0
115964000,0.0010482904,0.0,0.0
116164000,0.008152298,0.0,0.0
116360000,0.0017369642,0.0,0.0
116560000,0.009896891,0.0,0.0
116760000,0.0031102153,0.0,0.0
116960000,0.003769819,0.0,0.0
117160000,0.005929823,0.0,0.0
117360000,0.0032154773,0.0,0.0
117564000,0.0023204891,0.0,0.0
117760000,0.0026310207,0.0,0.0
117960000,0.0023173697,0.0,0.0
118160000,0.004371365,0.0,0.0
118360000,0.0053397175,0.0,0.0
118560000,0.005180386,0.0,0.0
118760000,0.0021538436,0.0,0.0
118960000,0.0031796438,0.0,0.0
119160000,0.0030669,0.0,0.0
119360000,0.0032700372,0.0,0.0
119560000,0.003790786,0.0,0.0
119760000,0.0027207904,0.0,0.0
119960000,0.001970376,0.0,0.0
120164000,0.003380761,0.0,0.0
120360000,0.0016219934,0.0,0.0
120560000,0.0027323668,0.0,0.0
120764000,0.0023606922,0.0,0.0
120960000,0.002299215,0.0,0.0
121160000,0.002686389,0.0,0.0
121364000,0.0026967975,0.0,0.0
121564000,0.002954836,0.0,0.0
121760000,0.0032770108,0.0,0.0
121960000,0.0038621668,0.0,0.0
122160000,0.0033684298,0.0,0.0
122360000,0.004093795,0.0,0.0
122564000,0.011074785,0.0,0.0
122760000,0.002449673,0.0,0.0
122960000,0.0023237215,0.0,0.0
123160000,0.008389611,0.0,0.0
123360000,0.0009847551,0.0,0.0
123564000,0.0055639045,0.0,0.0
123760000,0.003112686,0.0,0.0
123960000,0.0029164143,0.0,0.0
124164000,0.0031979468,0.0,0.0
124360000,0.003531077,0.0,0.0
124560000,0.005206571,0.0,0.0
124760000,0.0051015574,0.0,0.0
124964000,0.0028734263,0.0,0.0
125164000,0.0032936574,0.0,0.0
125360000,0.0031541483,0.0,0.0
125560000,0.0037675803,0.0,0.0
125764000,0.0035196021,0.0,0.0
125960000,0.004908809,0.0,0.0
126160000,0.0034500798,0.0,0.0
126360000,0.006697764,0.0,0.0
126560000,0.00412044,0.0,0.0
126764000,0.0010310694,0.0,0.0
126960000,0.0011809949,0.0,0.0
127160000,0.0016741661,0.0,0.0
