timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
347408000,inf,0,0,0,0,0
348408000,inf,0,0,0,0,0
349408000,inf,0,0,0,0,0
350408000,inf,0,0,0,0,0
351408000,inf,0,0,0,0,0
352408000,inf,0,0,0,0,0
353408000,inf,0,0,0,0,0
354408000,inf,0,0,0,0,0
355408000,inf,0,0,0,0,0
356408000,inf,0,0,0,0,0
357408000,inf,0,0,0,0,0
358408000,inf,0,0,0,0,0
359408000,inf,0,0,0,0,0
360408000,inf,0,0,0,0,0
361408000,inf,0,0,0,0,0
362408000,inf,0,0,0,0,0
363408000,inf,0,0,0,0,0
364408000,inf,0,0,0,0,0
365408000,inf,0,0,0,0,0
366408000,inf,0,0,0,0,0
367408000,inf,0,0,0,0,0
368408000,inf,0,0,0,0,0
369408000,inf,0,0,0,0,0
370408000,inf,0,0,0,0,0
371408000,inf,0,0,0,0,0
372408000,inf,0,0,0,0,0
373408000,inf,0,0,0,0,0
374408000,inf,0,0,0,0,0
375408000,inf,0,0,0,0,0
376408000,inf,0,0,0,0,0
377408000,inf,0,0,0,0,0
378408000,inf,0,0,0,0,0
379408000,inf,0,0,0,0,0
380408000,inf,0,0,0,0,0
381408000,inf,0,0,0,0,0
382408000,inf,0,0,0,0,0
383408000,inf,0,0,0,0,0
384408000,inf,0,0,0,0,0
385408000,inf,0,0,0,0,0
386408000,inf,0,0,0,0,0
387408000,inf,0,0,0,0,0
388408000,inf,0,0,0,0,0
389408000,inf,0,0,0,0,0
390408000,inf,0,0,0,0,0
391408000,inf,0,0,0,0,0
392408000,inf,0,0,0,0,0
393408000,inf,0,0,0,0,0
394408000,inf,0,0,0,0,0
395408000,inf,0,0,0,0,0
396408000,inf,0,0,0,0,0
397416000,inf,0,0,0,0,0
398416000,inf,0,0,0,0,0
399416000,inf,0,0,0,0,0
400416000,inf,0,0,0,0,0
401416000,inf,0,0,0,0,0
402416000,inf,0,0,0,0,0
403416000,inf,0,0,0,0,0
404416000,inf,0,0,0,0,0
405416000,inf,0,0,0,0,0
406416000,inf,0,0,0,0,0
407416000,inf,0,0,0,0,0
408416000,inf,0,0,0,0,0
409416000,inf,0,0,0,0,0
410416000,inf,0,0,0,0,0
411416000,inf,0,0,0,0,0
412424000,inf,0,0,0,0,0
413424000,inf,0,0,0,0,0
414424000,inf,0,0,0,0,0
415424000,inf,0,0,0,0,0
416424000,inf,0,0,0,0,0
417424000,inf,0,0,0,0,0
418424000,inf,0,0,0,0,0
419424000,inf,0,0,0,0,0
420432000,inf,0,0,0,0,0
421432000,inf,0,0,0,0,0
422432000,inf,0,0,0,0,0
423432000,inf,0,0,0,0,0
424432000,inf,0,0,0,0,0
425432000,inf,0,0,0,0,0
426432000,inf,0,0,0,0,0
427432000,inf,0,0,0,0,0
428432000,inf,0,0,0,0,0
429432000,inf,0,0,0,0,0
430432000,inf,0,0,0,0,0
431432000,inf,0,0,0,0,0
432432000,inf,0,0,0,0,0
433432000,inf,0,0,0,0,0
434432000,inf,0,0,0,0,0
435432000,inf,0,0,0,0,0
436432000,inf,0,0,0,0,0
437432000,inf,0,0,0,0,0
438432000,inf,0,0,0,0,0
439432000,inf,0,0,0,0,0
440432000,inf,0,0,0,0,0
441432000,inf,0,0,0,0,0
442432000,inf,0,0,0,0,0
443432000,inf,0,0,0,0,0
444432000,inf,0,0,0,0,0
445432000,inf,0,0,0,0,0
446432000,inf,0,0,0,0,0
447432000,inf,0,0,0,0,0
448432000,inf,0,0,0,0,0
449432000,inf,0,0,0,0,0
450432000,inf,0,0,0,0,0
451432000,inf,0,0,0,0,0
452432000,inf,0,0,0,0,0
453432000,inf,0,0,0,0,0
454432000,inf,0,0,0,0,0
455432000,inf,0,0,0,0,0
456432000,inf,0,0,0,0,0
457432000,inf,0,0,0,0,0
458432000,inf,0,0,0,0,0
459432000,inf,0,0,0,0,0
460412000,inf,0,0,0,0,1
461412000,inf,0,0,0,0,1
462412000,inf,0,0,0,0,1
463412000,inf,0,0,0,0,1
464412000,inf,0,0,0,0,1
465412000,inf,0,0,0,0,1
466412000,inf,0,0,0,0,1
467412000,inf,0,0,0,0,1
468412000,inf,0,0,0,0,1
469412000,inf,0,0,0,0,1
470412000,inf,0,0,0,0,1
471412000,inf,0,0,0,0,1
472412000,inf,0,0,0,0,1
473412000,inf,0,0,0,0,1
474412000,inf,0,0,0,0,1
475412000,inf,0,0,0,0,1
476412000,inf,0,0,0,0,1
477412000,inf,0,0,0,0,1
478412000,inf,0,0,0,0,1
479412000,inf,0,0,0,0,1
480412000,inf,0,0,0,0,1
481012000,inf,0,0,0,0,0
482012000,inf,0,0,0,0,0
482112000,inf,0,0,0,0,1
482152000,inf,0,0,0,0,0
482232000,inf,0,0,0,0,1
482252000,inf,0,0,0,0,0
482352000,inf,0,0,0,0,1
482372000,inf,0,0,0,0,0
482392000,inf,0,0,0,0,1
483392000,inf,0,0,0,0,1
484392000,inf,0,0,0,0,1
485392000,inf,0,0,0,0,1
486392000,inf,0,0,0,0,1
487392000,inf,0,0,0,0,1
488392000,inf,0,0,0,0,1
489392000,inf,0,0,0,0,1
490392000,inf,0,0,0,0,1
491392000,inf,0,0,0,0,1
492392000,inf,0,0,0,0,1
493392000,inf,0,0,0,0,1
494392000,inf,0,0,0,0,1
495392000,inf,0,0,0,0,1
496352000,inf,0,0,1,0,1
496632000,inf,0,0,0,1,1
496952000,inf,1,0,0,0,1
496972000,inf,1,0,0,0,0
497980000,inf,1,0,0,0,0
