timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
138608000,-0.0035393694,-0.2800441,-3.1295378,0.0,-0.0057213996,0.13957275,-0.00091112225,0.99019486,0.0,0.0,-0.61243993,1,0,0,0,0,0
138704000,-0.0023364434,-0.26976052,-3.1291485,0.0,-0.0060084397,0.13447617,-0.00032090058,0.99089855,0.0,0.0,-0.6087928,1,0,0,0,0,0
138820000,-0.0033621644,-0.25765806,-3.1287248,0.0,-0.00616458,0.12848085,-0.00084053783,0.9916925,0.0,0.0,-0.60953313,1,0,0,0,0,0
138916000,-0.0027620064,-0.25102937,-3.1282248,0.0,-0.00645839,0.12519163,-0.00053338846,0.9921114,0.0,0.0,-0.605693,1,0,0,0,0,0
139016000,-0.0040166243,-0.24367338,-3.1277604,0.0,-0.0066207102,0.12154612,-0.0011528297,0.99256307,0.0,0.0,-0.6063403,1,0,0,0,0,0
139112000,-0.0046611917,-0.2394912,-3.1272693,0.0,-0.006831924,0.1194728,-0.0014583217,0.99281293,0.0,0.0,-0.6016108,1,0,0,0,0,0
139208000,-0.0034467445,-0.23529112,-3.1268225,0.0,-0.007131692,0.11738364,-0.00084460113,0.9930607,0.0,0.0,-0.60620034,1,0,0,0,0,0
139304000,-0.0013246865,-0.2315789,-3.1262407,0.0,-0.0075479676,0.11553251,0.00022891305,0.99327505,0.0,0.0,-0.6006447,1,0,0,0,0,0
139400000,-0.0029067008,-0.22578986,-3.1256578,0.0,-0.007752894,0.11266307,-0.0005464897,0.9936029,0.0,0.0,-0.60348487,1,0,0,0,0,0
139516000,-0.0035984332,-0.2170831,-3.124991,0.0,-0.008057,0.10833949,-0.000889358,0.9940809,0.0,0.0,-0.5979462,1,0,0,0,0,0
139616000,-0.004273642,-0.20954287,-3.1244678,0.0,-0.008291868,0.104593985,-0.0012295821,0.9944797,0.0,0.0,-0.5998839,1,0,0,0,0,0
139712000,-0.004304347,-0.20467015,-3.1239398,0.0,-0.00856029,0.10217124,-0.0012391632,0.9947292,0.0,0.0,-0.5953543,1,0,0,0,0,0
139808000,-0.0060271583,-0.19934434,-3.1235657,0.0,-0.008668733,0.09952976,-0.002101605,0.9949946,0.0,0.0,-0.59533507,1,0,0,0,0,0
139904000,-0.0049893474,-0.19304265,-3.123128,0.0,-0.0089488225,0.09639004,-0.0015932327,0.99530214,0.0,0.0,-0.59445703,1,0,0,0,0,0
140020000,-0.004305811,-0.18700132,-3.1226687,0.0,-0.009219469,0.093380354,-0.0012600088,0.99558705,0.0,0.0,-0.59445405,1,0,0,0,0,0
140116000,-0.0033156828,-0.18039502,-3.122061,0.0,-0.009576631,0.09008696,-0.000771379,0.9958876,0.0,0.0,-0.5902027,1,0,0,0,0,0
