timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
92904000,12.134161,12.146671,-1.0,-1.0,0.0,0.0,0.9979825,1.0002741,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
93396000,12.12063,12.139951,-1.0,-1.0,0.0,0.0,0.9939095,1.0008278,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
93900000,12.1067705,12.130695,-1.0,-1.0,0.0,0.0,0.98830014,1.0015914,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
94404000,12.092911,12.11985,-1.0,-1.0,0.0,0.0,0.9817267,1.0024878,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
94896000,12.07938,12.108259,-1.0,-1.0,0.0,0.0,0.9747025,1.0034473,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
95400000,12.06552,12.095709,-1.0,-1.0,0.0,0.0,0.9670956,1.0044886,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
95904000,12.051661,12.082706,-1.0,-1.0,0.0,0.0,0.9592157,1.0055695,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
96396000,12.03813,12.069728,-1.0,-1.0,0.0,0.0,0.9513496,1.0066508,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
96900000,12.02427,12.056242,-1.0,-1.0,0.0,0.0,0.9431766,1.0077767,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
97404000,12.010411,12.042627,-1.0,-1.0,0.0,0.0,0.9349256,1.008916,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
97896000,11.996881,12.029255,-1.0,-1.0,0.0,0.0,0.9268211,1.0100377,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
98400000,11.983021,12.015501,-1.0,-1.0,0.0,0.0,0.9184851,1.0111939,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
98904000,11.96916,12.001712,-1.0,-1.0,0.0,0.0,0.91012836,1.0123556,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
99396000,11.95563,11.988226,-1.0,-1.0,0.0,0.0,0.90195495,1.0134945,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
99900000,11.941771,11.974395,-1.0,-1.0,0.0,0.0,0.89357215,1.0146651,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
100404000,11.927911,11.960554,-1.0,-1.0,0.0,0.0,0.88518417,1.0158392,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
100896000,11.91438,11.947037,-1.0,-1.0,0.0,0.0,0.8769916,1.0169886,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
101400000,11.90052,11.933185,-1.0,-1.0,0.0,0.0,0.86859626,1.0181692,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
101904000,11.886661,11.919331,-1.0,-1.0,0.0,0.0,0.86020005,1.0193526,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
102396000,11.873131,11.905804,-1.0,-1.0,0.0,0.0,0.8520019,1.0205108,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
102900000,11.85927,11.891947,-1.0,-1.0,0.0,0.0,0.84360397,1.0216999,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
103404000,11.84541,11.878088,-1.0,-1.0,0.0,0.0,0.83520466,1.0228919,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
103896000,11.831881,11.864559,-1.0,-1.0,0.0,0.0,0.82700527,1.0240583,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
104400000,11.81802,11.8507,-1.0,-1.0,0.0,0.0,0.818606,1.0252559,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
104904000,11.80416,11.83684,-1.0,-1.0,0.0,0.0,0.8102054,1.0264565,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
105396000,11.79063,11.82331,-1.0,-1.0,0.0,0.0,0.8020056,1.027631,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
105900000,11.77677,11.80945,-1.0,-1.0,0.0,0.0,0.79360586,1.0288371,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
106404000,11.762911,11.795589,-1.0,-1.0,0.0,0.0,0.7852053,1.0300461,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
106896000,11.74938,11.78206,-1.0,-1.0,0.0,0.0,0.77700543,1.0312289,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
107400000,11.73552,11.7682,-1.0,-1.0,0.0,0.0,0.7686057,1.0324434,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
107904000,11.721661,11.754339,-1.0,-1.0,0.0,0.0,0.76020515,1.0336609,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
108396000,11.708131,11.740809,-1.0,-1.0,0.0,0.0,0.7520053,1.034852,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
108900000,11.69427,11.72695,-1.0,-1.0,0.0,0.0,0.7436056,1.0360751,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
109404000,11.68041,11.713089,-1.0,-1.0,0.0,0.0,0.73520505,1.0373012,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
109896000,11.666881,11.699559,-1.0,-1.0,0.0,0.0,0.7270052,1.0385008,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
110400000,11.65302,11.685699,-1.0,-1.0,0.0,0.0,0.71860546,1.0397325,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
