timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
209572000,32767,32767,32767,32767,0,0,32767
209576000,32767,32767,32767,32767,32767,32767,32767
209580000,32767,32767,32767,32767,0,0,32767
209584000,32767,32767,32767,32767,32767,32767,32767
209588000,32767,32767,32767,32767,32767,32767,32767
209592000,32767,32767,0,32767,0,0,32767
209596000,32767,32767,32767,32767,32767,32767,32767
209600000,32767,32767,32767,32767,0,0,32767
209604000,32767,32767,32767,32767,32767,32767,32767
209608000,32767,32767,32767,32767,32767,32767,32767
209612000,32767,32767,32767,32767,0,0,32767
209616000,32767,32767,32767,32767,32767,32767,32767
209620000,32767,32767,32767,32767,0,0,32767
209624000,32767,32767,32767,32767,32767,32767,32767
209628000,32767,32767,32767,32767,32767,32767,32767
209632000,32767,32767,32767,32767,0,0,32767
209636000,32767,32767,32767,32767,32767,32767,32767
209640000,32767,32767,32767,32767,0,0,32767
209644000,32767,32767,32767,32767,32767,32767,32767
209648000,32767,32767,32767,32767,32767,32767,32767
209652000,32767,32767,32767,32767,0,0,32767
209656000,32767,32767,32767,32767,32767,32767,32767
209660000,32767,32767,32767,32767,0,0,32767
209664000,32767,32767,32767,32767,32767,32767,32767
209668000,32767,32767,32767,32767,32767,32767,32767
209672000,32767,32767,32767,32767,0,0,32767
209676000,32767,32767,32767,32767,32767,32767,32767
209680000,32767,32767,32767,32767,0,0,32767
209684000,32767,32767,32767,32767,32767,32767,32767
209688000,32767,32767,32767,32767,32767,32767,32767
209692000,32767,32767,32767,32767,0,0,32767
209696000,32767,32767,32767,32767,32767,32767,32767
209700000,32767,32767,32767,32767,32767,0,32767
209704000,32767,32767,32767,32767,-40,32767,32767
209708000,32767,32767,32767,32767,32767,32767,32767
209716000,32767,32767,32767,32767,32767,32767,32767
209720000,32767,32767,32767,32767,0,0,32767
209724000,32767,32767,32767,32767,32767,32767,32767
209728000,32767,32767,32767,32767,32767,32767,32767
209732000,32767,32767,32767,32767,0,0,32767
209740000,32767,32767,32767,32767,0,0,32767
209744000,32767,32767,32767,32767,32767,32767,32767
209748000,32767,32767,32767,32767,32767,32767,32767
209752000,32767,32767,32767,32767,0,0,32767
209756000,32767,32767,32767,32767,32767,32767,32767
209760000,32767,32767,32767,32767,0,0,32767
209764000,32767,32767,32767,32767,32767,32767,32767
209768000,32767,32767,32767,32767,32767,32767,32767
209772000,32767,32767,32767,32767,0,0,32767
209776000,32767,32767,32767,32767,32767,32767,32767
209780000,32767,32767,32767,32767,0,0,32767
209784000,32767,32767,32767,32767,32767,32767,32767
209788000,32767,32767,32767,32767,32767,32767,32767
209792000,32767,32767,0,32767,0,0,32767
209796000,32767,32767,32767,32767,32767,32767,32767
209800000,32767,32767,32767,32767,0,0,32767
209804000,32767,32767,32767,32767,32767,32767,32767
209808000,32767,32767,32767,32767,32767,32767,32767
209812000,32767,32767,32767,32767,0,0,32767
209816000,32767,32767,32767,32767,32767,32767,32767
209820000,32767,32767,32767,32767,0,0,32767
